usuario execucao,flag,dia semana,data,horario,comando,hostname,usuario remoto,host,porta,sucesso execucao remoto,erro
gabriel,,Tuesday,03/08/2022,01:48:36,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,,Tuesday,03/08/2022,01:48:53,,Maquina01,gabriel,127.0.0.1,3022,,
gabriel,False,Tuesday,03/08/2022,01:48:53,,Maquina01,gabriel,127.0.0.1,3022,False,No existing session
gabriel,False,Tuesday,03/08/2022,01:48:53,,Maquina02 Clone,gabriel,127.0.0.1,3023,False,No existing session
gabriel,True,Tuesday,03/08/2022,01:48:53,ls,Maquina Algar,gabriel,192.168.100.4,22,True,No existing session
gabriel,,Tuesday,03/08/2022,01:49:17,,Maquina01,gabriel,127.0.0.1,3022,,
gabriel,False,Tuesday,03/08/2022,01:49:17,,Maquina01,gabriel,127.0.0.1,3022,False,No existing session
gabriel,False,Tuesday,03/08/2022,01:49:18,,Maquina02 Clone,gabriel,127.0.0.1,3023,False,No existing session
gabriel,True,Tuesday,03/08/2022,01:49:18,ls,Maquina Algar,gabriel,192.168.100.4,22,True,No existing session
gabriel,,Tuesday,03/08/2022,01:50:42,,Maquina01,gabriel,127.0.0.1,3022,,
gabriel,False,Tuesday,03/08/2022,01:50:42,,Maquina01,gabriel,127.0.0.1,3022,False,No existing session
gabriel,False,Tuesday,03/08/2022,01:50:42,,Maquina02 Clone,gabriel,127.0.0.1,3023,False,No existing session
gabriel,False,Tuesday,03/08/2022,01:50:42,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,False,Authentication failed.
gabriel,,Tuesday,03/08/2022,01:52:48,,Maquina01,gabriel,127.0.0.1,3022,,
gabriel,False,Tuesday,03/08/2022,01:52:48,,Maquina01,gabriel,127.0.0.1,3022,False,No existing session
gabriel,False,Tuesday,03/08/2022,01:52:48,,Maquina02 Clone,gabriel,127.0.0.1,3023,False,No existing session
gabriel,True,Tuesday,03/08/2022,01:52:48,ls,Maquina Algar,gabriel,192.168.100.4,22,True,No existing session
gabriel,True,Tuesday,03/08/2022,01:59:22,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,01:59:22,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,01:59:30,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,01:59:31,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,01:59:42,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,01:59:42,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:00:31,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:00:32,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:00:54,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:00:54,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:00:58,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:00:59,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:01:06,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:01:06,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:01:08,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:01:09,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:01:11,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:01:12,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:01:14,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:01:14,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:01:15,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:01:16,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:01:17,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:01:18,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
